,会社名,給与,初年度年収
107,インターギアソリューション株式会社 | 電話が好きであれば採用。（１日150コールと勉強の日々です。）,"固定報酬時間額 2,000円 〜3,500円 ※契約後3ヶ月間は、固定報酬時間額1,400円+インセンティブ 【別途イ…",400万円～1100万円
108,株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えも可能／web面接実施中,"月給170,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…",280万円～400万円
109,クリーンデバイス・テクノロジー株式会社,完全出来高制 1台約1〜2時間で2万1000円の利益が得られるビジネスです サービス販売価格：1台平均3万50…,不明
110,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,月給27万円〜40万円 ＋ 賞与年2回 ※上記に加え、別途毎月1万円の皆勤手当を支給 ※経験や能力を考慮の…,400万円～560万円
111,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,月給26万円以上 ※経験・年齢を考慮の上、優遇いたします。 ※上記の金額には固定残業代20時間相当分（3…,320万円～420万円
112,株式会社タウンハウジング | 【創業から42年★1都3件に111店舗展開中】未経験入社大歓迎！,"◆月給24万5,000円以上 ＋ 充実の手当 ＋ 歩合給 ※経験・年齢を考慮のうえ、当社規定により優遇いたし…",350万円～600万円
113,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,◆月給25万円〜80万円 ＋ インセンティブ ＋ 各種手当 【モデル年収例】 1620万円／月給50万円＋インセ…,500万円～800万円
114,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,400万円～800万円
115,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・年齢不問！,"【月収にすると約60万円が平均！】月100万円以上稼ぐ方も◎ 売上1,111,617円ー（原価：55,581円＋販管費…",300万円～1000万円
116,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …,不明
117,株式会社あおぞら不動産管理 | 年収1000万円以上も可能！土日祝休み！年休126日！業績好調！,月給25万円以上＋インセンティブ ※実績に応じて、入社半年後に給与見直しの希望をうかがい、面談を設け…,500万円～1000万円
118,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,不明
119,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
120,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,"月給200,000円〜225,000円（カリキュラム終了後の月収例：月収30万円／月給28.5万円＋手当） ※勤務地に…",300万円～500万円
121,"フジイハウス産業株式会社 | 【""三菱地所""や""住友不動産""と取引】大阪府緊急雇用対策に賛同",【未経験】月給25万円〜30万円+諸手当+賞与(年2回) 【経験者】月給30万円〜50万円+諸手当+賞与(年2回) …,300万円～700万円
122,株式会社大成社 | 年収平均80万UP／Java 3年経験者：月給例48.75万／年収例585万,月給35万円〜90万円 ※経験、スキル、案件単価等を考慮した上で決定致します。 ★案件単価の75%を給与と…,430万円～1100万円
123,春電株式会社 | 選べる完全週休2日｜年収700万円以上も目指せる｜出張・夜間なし,【給与体系2種／前職給与を保証】 【1】月給32万円〜 【2】月給28万円〜 ※経験・年齢・能力を考慮の上…,400万円～700万円
124,イッセイコンサルタント株式会社 | 国土交通省のパートナー企業◆平均年収600～700万／完全週休2日,月給25万〜60万円 【月給例】 月給25万円／入社1年（27歳） 月給35万円／経験5年（30歳） 月給50万円／…,350万円～850万円
125,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
126,株式会社ビッグモーター | 年収800万円も可能★月8～10日休み★面接1回★住宅手当など充実,"月給228,600円〜35万円＋インセンティブ（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定…",300万円～1000万円
127,株式会社ジーアフター | 【大型店新規オープン】＊千葉県トップクラスの中古車販売店,月給25万円〜 ＋ インセンティブ ※経験や年齢等を考慮し、当社規定により決定致します ※試用期間3ヶ…,400万円～500万円
128,UTエイム株式会社 | 【東証一部上場グループ】弱みがあったっていいじゃない♪,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
129,株式会社コプロ・エンジニアード | 東証・名証一部上場コプロホールディングスのグループ,月給40万円〜75万円+残業手当(1分単位) ※スキル・年齢・経験・能力を十分に考慮します。 ★残業は1分単…,520万円～940万円
130,株式会社テクノプロ・コンストラクション | 東証一部上場グループ｜残業少なめ｜大阪府緊急雇用対策に賛同,＜経験者＞ 月給27万円以上 ＜未経験者＞ 月給22万円以上 ★平均月収45万5000円 ★当社は固定残業制を…,500万円～1106万円
131,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,"月給200,000円〜225,000円（カリキュラム終了後の月収例：月収30万円／月給28.5万円＋手当） ※勤務地に…",不明
132,第一生命保険株式会社 | ◆「プラチナくるみん」認定企業 ◆WEB面談対応OK！ ◆賞与年2回,月給30万円 + 成果に応じた額 + 賞与年2回 ※ただし、勤務・成績条件あり,不明
133,株式会社トップガイ | 《業績拡大中》★新店続々OPEN ★週休2日制 ★20代～30代活躍中,月給25万円以上 ※経験・スキル・年齢を考慮の上、決定します。 ※固定残業代（3万円以上、月25時間相当…,300万円～360万円
134,株式会社アール・エム | 大阪府緊急雇用対策に賛同｜完全週休2日制・年間休日120日以上,【休日日数に応じて給与体系を選択していただけます】 《1》週休2日制／月給25万円＋インセンティブ ※固…,400万円～700万円
135,株式会社ガリレオコーポレーション | ☆★完全週休2日制&年間休日117日で、プライベートも充実★☆,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…,500万円～2000万円
136,ミタカ不動産株式会社 | ― 転職サイト初掲載 ― 固定給＋最大利益の35%を歩合として支給,【 未経験：月給25万円〜 】【 経験者：月給30万円〜 】 + 年3回歩合を支給 + 年1回のボーナスあり(12月)…,不明
137,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…,600万円～1000万円
138,株式会社エコスマート | 創業以来10期連続増収増益◆社員定着率92.3％◆年3回長期休み有,月給:22万〜53万円+諸手当+インセンティブ年4回+賞与年2回 ※経験・スキル・前給を考慮し、決定します。…,350万円～600万円
139,株式会社ホットスタッフ博多 | 北九州、行橋、小倉、飯塚、新宮、久留米に拠点を展開！,"【 月給236,250円 ＋ 高歩合給 】 ★入社1年目で月収50万円以上も目指せます！ ※ 経験、能力を考慮の…",450万円～550万円
140,株式会社ライフサポート | 水道局指定工事店★業務委託で働くメリットを公開！平均月収48万,<報酬> A　完全歩合制（月の売上の粗利25％以上） 　→月の売上によって25%以上も可能です！ B　固定報…,300万円～600万円
141,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,"月給27万円 + 歩合給（1件あたり7〜10万円） ★年収1,000万円以上が多数在籍！ ★経験が無い方でも安心し…",400万円～750万円
142,アウトソーシンググループ合同募集 | ★東証一部上場グループ／昇給＆業績賞与や各種手当も充実！,月給：22万円〜40万円（一律生産手当含む）＋残業手当100％＋賞与年2回 ※経験・能力等を考慮して決定し…,300万円～550万円
143,株式会社ビッグモーター | 【業界No.1】平均年収861万円◆表彰式あり◆未経験歓迎◆面接1回,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…,330万円～1500万円
144,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
145,UTエイム株式会社 | 【東証一部上場グループ】オンライン面接でスムーズな転職も可能,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
146,株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,■月給22万円〜35万円 ※前職給与・経験・年齢・能力などを考慮して、給与額を決定します。 ※30時間分の…,260万円～460万円
147,株式会社京栄コンサルティング | 【急成長中のベンチャー企業！】年収例：720万円/25歳/入社4年目,月給25万円~35万円+インセンティブ ※あなたの経験、能力を考慮の上、決定いたします。 ※上記月給には、…,350万円～450万円
148,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同◆年休最大160日◆応募⇒内定まで2週間,A：月給25万5000円〜 B：月給23万3000円〜 A…関東・甲信越A、東海、近畿エリア B…北海道・東北、関東…,不明
149,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,"【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…",300万円～550万円
150,クルーガーグループ株式会社 | 全国で複数名採用／面接1回／自由な月9日休み／福利厚生◎,■月給制 【関東・甲信越】25万円〜＋歩合 【神奈川】26万円〜 【青森】24万円〜 【北海道・宮城】23万円…,450万円～850万円
151,住友不動産株式会社 | 【東証一部上場】★全領域で業界トップクラス！平均年収710万円,月給33万4000円〜75万円 ※一律手当を含む ※上記には固定残業代：10万6100円〜15万8800円/58時間含む。 …,400万円～1000万円
152,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／スピード入社も可能,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
153,ライクスタッフィング株式会社 | [大阪府緊急雇用対策に賛同]★東証一部上場グループ★WEB面接1回,【未経験】 月給25万円〜＋時間外手当(100％全額支給)＋賞与2回 【CAD経験者】 月給28万円〜＋時間外手…,350万円～1000万円
154,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同◆年休最大160日◆地域限定正社員,A：月給25万5000円〜 B：月給23万3000円〜 A…関東・甲信越A、東海、近畿エリア B…北海道・東北、関東…,不明
155,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…,不明
156,KUROFUNE＆PARTNERS株式会社 | ★2020年7月 札幌NEW営業所開設★ ☆オープニングスタッフ募集☆,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…,500万円～700万円
157,リベラルソリューション株式会社 | 中四国支社｜様々な再生可能エネルギー事業を展開★完週休2日制,"月給250,000円 （固定残業代含む）+ 各種手当 ＋ インセンティブ ※一律25万円スタートです。 ※固定残業…",300万円～600万円
158,株式会社ビッグモーター | ◆年収例500万円（26歳：未経験入社3年目）◆マイカー通勤可能,月給27万8600円〜40万円 ＋ 賞与年2回 ＋ 諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手…,300万円～700万円
159,"住友不動産株式会社 | 【東証一部上場】★転勤なし★5人に1人が年収1,000 万円の実績！",月給33万4000円 ※一律手当を含む ※上記には固定残業代：10万6100円/60時間含む。 ※超過分は別途支給 …,400万円～1000万円
160,株式会社ネオ・コーポレーション | 業績好調！21年連続増収増益／今年6月に、大阪本社が拡大移転！,■月給は勤務地別 大阪/24.8万円〜31.3万円※24.8万円 東京・大宮/25.7万円〜32.2万円※25.7万円 仙台・…,500万円～1500万円
161,株式会社ビッグモーター | 業界No.1の実績＆安定性／転勤なし・好きな街で活躍／面接1回,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…,300万円～550万円
162,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…",390万円～1000万円
163,KUROFUNE＆PARTNERS株式会社 | #入社1年目全員が年収500万円以上の実績 #社用車支給 #転勤なし,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…,500万円～700万円
164,株式会社ビッグモーター | 【業界No.1企業】転勤なし★地元勤務できる正社員★未経験歓迎！,月給22万8600円〜70万円(一律手当含)＋インセンティブ＋賞与年2回+諸手当 ※ご経験・ご年齢を考慮の上、…,330万円～1500万円
165,UTエイム株式会社 | 【東証一部上場グループ】★社宅費全額補助エリア多数あり！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
166,株式会社ビッグモーター | ＼業界No.1 ◆ 店舗別採用 ◆ 85％が年収650万円以上／,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…,330万円～1500万円
167,株式会社ビッグモーター | ＼平均年収860万円 ◆ 年収2000万円超の実績あり／,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,330万円～1500万円
168,リベラルソリューション株式会社 | 京都支社｜★社会貢献性大！様々な再生可能エネルギー事業を展開,"月給250,000円 （固定残業代含む）+ 各種手当 ＋ インセンティブ ※一律25万円スタートです。 ※固定残業…",300万円～600万円
169,株式会社アットファイブ | 【事業拡大成長企業/残業10h以内/月給30万円以上/在宅勤務も】,月給30万円〜 ※スキル・貢献度によって昇給制度あり（年1） 賞与 年1回／4月 想定年収 入社1年目：360…,360万円～420万円
170,株式会社ポケットモバイル | オンオフつけた最高の働き方OK★平均年齢27歳★同期も多数活躍中,月給25万円以上＋インセンティブ ※最大3ヶ月の試用期間あり（※期間中の給与の変動はありません） ※…,350万円～500万円
171,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同◆未経験歓迎◆残業ほぼなし,A：月給25万5000円〜 B：月給23万3000円〜 A…関東・甲信越A、東海、近畿エリア B…北海道・東北、関東…,不明
172,株式会社三鋭システム | 特許技術の独自システムが強力アシスト★最大20万円赴任補助！,月給21万7000円〜25万円＋インセンティブ＋賞与年2回 ※入社半年後に一度昇給があります。 ※上記月給額…,300万円～550万円
173,UTエイム株式会社 | 【東証一部上場グループ】★普段着での面談でOK,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
174,アウトソーシンググループ合同募集 | ★東証一部上場グループ／昇給＆業績賞与や各種手当も充実！,月給：22万円〜40万円（一律生産手当含む）＋残業手当100％＋賞与年2回 ※経験・能力等を考慮して決定し…,300万円～550万円
175,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…,500万円～1000万円
176,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…,350万円～650万円
177,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…,350万円～650万円
178,株式会社ミックウェア | ★ホンダやトヨタのパートナーとして最先端技術を駆使！,マネーワーク職／実力に応じた収入が可能！ 月給27万円〜47万円+賞与年4回 ※固定残業代月42時間相当（6…,400万円～1000万円
179,新日本ハウス株式会社 | 好調のリフォーム業界／吉幾三さんのCMで有名の好感度抜群企業,研修2カ月間／月給27万円(固定残業手当5万円／月38時間分を含む)＋歩合給＋各種報奨金 研修期間修了後／…,400万円～800万円
180,UTエイム株式会社 | 【東証一部上場グループ】★土日休み可能！年間休日127～190日,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
181,アップライブステージ株式会社 | テレワークの普及に伴い売上も2倍◎実績給で最高70万円支給有,月給 25万円〜 +（実績給） ※売上によりきちんとインセンティブ・賞与を支給いたします ※経験・能力・…,300万円～600万円
182,ネットシステム株式会社 | ＊プライベートも充実！　＊産育休復帰実績＆時短勤務あり♪,月給20万〜30万円 ＋ 別途報奨金（リベート）制度有 【営業】入社1年目の平均月収30万円以上 ※能力・…,不明
183,KUROFUNE＆PARTNERS株式会社 | #入社1年目全員が未経験で年収500万円以上の実績 #金沢限定募集,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…,500万円～700万円
184,株式会社ONE | #ボーナス年間250万円の実績あり,【未経験者】月給22万円以上+インセンティブ 【経験者】月給25万円以上+インセンティブ ※経験・能力・…,280万円～400万円
185,株式会社リンクスタッフグループ | ＜コロナ禍でも前年比成長率150%見込み！＞★実力を試せる！,■月給25万円〜40万円 + インセンティブ ＋ 賞与年2回 ※スキル・経験を考慮して決定いたします ※試用期…,不明
186,株式会社そら | 【Dr.ストレッチを全国展開】目標や夢に向けて頑張る仲間が集結,"月給 226,000円〜290,000円 +各種手当 ※昇給年4回！アナタの頑張りを随時評価します♪ ※月給には固定…",300万円～550万円
187,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,完全出来高制（1個あたり150〜250円 ※エリアによる／平均日当3万円） もしくは 固定制（日当1万5千〜2万…,300万円～1000万円
188,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,月給23万円以上 ※給与の金額は、あなたのスキルや能力を考慮した上で、決定となります。 ▼大阪・福岡…,300万円～400万円
189,株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,■月給21万円〜25万円＋業績給＋賞与年2回（昨年度実績：基本給2ヵ月分×2回） ※固定残業代（30時間分・…,450万円～550万円
190,株式会社ライジングサンセキュリティーサービス | ☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,月給32万円〜42万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…,300万円～600万円
191,株式会社コシダカ | 【上場グループ企業】月収例29.4万円★月8~10日休★年2回5連休！,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
192,株式会社コシダカ | ★月収例29万4000円！★年休110日以上★東証一部上場グループ,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
193,株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
194,株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.4万円も目指せる！,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
195,株式会社修優舘 | 基本残業ゼロ｜賞与年3回+業績給｜オープニング募集もあり,（1）週休制／月給21万5000円以上（一律手当1万円含む）＋インセンティブ ★半数以上の講師が月収30万円…,360万円～700万円
196,住友不動産販売株式会社 | 【東証一部上場】#会社説明会開催中 #平均年収880万円 #研修有り,月給24万円以上 + 諸手当 + 賞与年2回 ※試用期間3ヵ月（期間中の待遇に変更はありません）。 ※上記金…,350万円～450万円
197,株式会社PGSホーム | 【大阪府緊急雇用対策に賛同】未経験から最短距離で高収入を実現,月給25万円〜50万円＋高額歩合給(本数達成賞＋オーダー手当) ★月給40万円スタート(※)！さらに今だけ！…,400万円～1000万円
198,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,"固定報酬時間額 2,000円 +（インセンティブ） ◎毎月25日締めで当月末払いも可能 例）7月26日〜8月25日…",500万円～1100万円
199,株式会社ＫＯＧＡＯ | ★芸能人も多数来店 ★メディアで話題のSpeed小顔,月給24万円〜40万円＋手当て＋業績給 ★業界最高水準の給与★ 20代前半で月収80万円以上の高収入も可能…,350万円～600万円
200,株式会社サーバントップ | ★直行直帰OK★インセン賞与年2回｜大阪府緊急雇用対策に賛同,◆月給：35万円〜＋インセンティブ賞与年2回 ※あなたの経験・年齢を考慮のうえ、当社規定により優遇しま…,500万円～950万円
201,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
202,リベル株式会社 | ★急成長中の不動産ベンチャー ★面接1回 ★高率インセンティブ,月給25万円〜 ＋ インセンティブ ＋ 決算賞与 ※経験・スキル等を考慮し当社規定により決定します 上記給…,300万円～1000万円
203,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
204,株式会社リプロ | ◇年間休日120日／完全週休2日制 ◇未経験でも月給30万円～,"月給30万円〜50万円＋インセンティブ賞与年2回 ※固定残業代55時間分／88,869円〜を含む。超過分別途支給…",500万円～1000万円
205,株式会社フジナガ | 【創業40周年】全国展開する鳥害対策業界のトップクラスメーカー,■月給24万円〜31万円+インセンティブ(歩合)＋諸手当＋賞与(年2回)＋決算賞与 ※関東支店・横浜営業所勤…,350万円～550万円
206,インターギアソリューション株式会社 | 電話が好きであれば採用。（１日150コールと勉強の日々です。）,"固定報酬時間額 2,000円 〜3,500円 ※契約後3ヶ月間は、固定報酬時間額1,400円+インセンティブ 【別途イ…",400万円～1100万円
207,株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えも可能／web面接実施中,"月給170,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…",280万円～400万円
208,クリーンデバイス・テクノロジー株式会社,完全出来高制 1台約1〜2時間で2万1000円の利益が得られるビジネスです サービス販売価格：1台平均3万50…,不明
209,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,月給27万円〜40万円 ＋ 賞与年2回 ※上記に加え、別途毎月1万円の皆勤手当を支給 ※経験や能力を考慮の…,400万円～560万円
210,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,月給26万円以上 ※経験・年齢を考慮の上、優遇いたします。 ※上記の金額には固定残業代20時間相当分（3…,320万円～420万円
211,株式会社タウンハウジング | 【創業から42年★1都3件に111店舗展開中】未経験入社大歓迎！,"◆月給24万5,000円以上 ＋ 充実の手当 ＋ 歩合給 ※経験・年齢を考慮のうえ、当社規定により優遇いたし…",350万円～600万円
212,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,◆月給25万円〜80万円 ＋ インセンティブ ＋ 各種手当 【モデル年収例】 1620万円／月給50万円＋インセ…,500万円～800万円
213,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,400万円～800万円
